TITLE,ENGLISH NAAT,ENGLISH EXPLANATION
Sair-E-Gulshan Kon Daikhay ,"Gulshan has a face, looking at which it becomes night
Seer-e-Gulshan, touching the hearts

In the spring of flowers, Muhammad's smile
A walk brings a lot of joy to the heart

In the moonlit nights, Muhammad shines
Ser-e-Gulshan, gives light to hearts

In every rose lies the message of Muhammad
A walk brings a lot of joy to the heart

The face is beautiful, the radiance of the night
Seer-e-Gulshan, touching the hearts

Hidden in every fragrance is the message of Muhammad
A walk brings a lot of joy to the heart

The face of Muhammad makes the hearts very happy
A walk gives a lot of pleasure at night

Every night in my dreams, Muhammad is gone
A walk brings a lot of joy to the heart

Hidden in every flower is the message of Muhammad
A walk brings a lot of joy to the heart

In many dreams at night, Muhammed Ka Hai Wasal
A walk brings a lot of joy to the heart","
This word is in Gulshan's loving praise of Hussaini and Prophet Muhammad. Every pinkti is in the light of the narration of Prophet Muhammad (peace be upon him) and the beautiful face hidden in Gulshan makes hearts very happy. Muhammad's smile in the springtime of flowers shows the Hussain love. At night in the moonlight, their glow illuminates the hearts and each rose has a message hidden in it. The beautiful face of Prophet Muhammad (peace and blessings of Allah be upon him) touches hearts and his message is hidden in every fragrance. These poems describe religious love and spirituality and make hearts very happy"
Sehar Gulshan who will show?,"Sehar-e-Gulshan, who sees who shines
Heart touching, who is Muhammad?

Colors the nights, burns in the moonlight
Sehar-e-Gulshan, we also have indecision

In the breezes of Taiba, the fragrance shines
Sahar-e-Gulshan, we also miss it a lot

Color fills the throat, Muhammad's shine
Sahar-e-Gulshan, touching hearts

In the nights of prayers, the nights are the answer
Sahar-e-Gulshan, Muhammad is the secret of moonlight

In the spring of flowers, Muhammad's magic
Sahar-e-Gulshan, gives a lot of joy to the hearts

Bringing light to creation, it is a journey of fascination
Sehar-e-Gulshan, the sight of Muhammad is great

Hidden in dreams, Muhammad's message
Sahar-e-Gulshan, gives a lot of comfort to the hearts

In the dawn's moonlight, Muhammad's smile
Sehar-e-Gulshan, hearts love a lot

Every flower has a language, the praise of Muhammad
Sahar-e-Gulshan, gives a lot of joy to the hearts","
This word makes the parents serious about the beauty of Sehar-e-Gulshan and the glory of Prophet Muhammad. Every poem mentions the heavenly light and heart-warming Prophet Muhammad. Sehar-e-Gulshan, fills the nights with color and fills the hearts with indecision, here the poetry has described these situations in the light of physical beauty of parents and religious love. Tayyaba's fragrance shines in the air and hearts are longed for, here the poetry describes this special love. Color fills the cheeks and the radiant presence of Muhammad (peace and blessings of Allah be upon him) is described, which touches the hearts and forgets every sorrow in their ways. All the poems are in the language of Muhammad's love, courage, and mercy, which makes every heart very happy."
Government needs support for life,"Full of the blessings of the Lord, this is my life
At his feet, every difficulty is ease

From the depths of the prayers, the calves are never relieved
He who abides in His mercy, forgets all sorrows

Full of the blessings of the Lord, this is my life
At his feet, every difficulty is ease

From the depths of the prayers, the calves are never relieved
He who abides in His mercy, forgets all sorrows

Full of the blessings of the Lord, this is my life
At his feet, every difficulty is ease

From the depths of the prayers, the calves are never relieved
He who abides in His mercy, forgets all sorrows

Full of the blessings of the Lord, this is my life
At his feet, every difficulty is ease

From the depths of the prayers, the calves are never relieved
He who abides in His mercy, forgets all sorrows

Full of the blessings of the Lord, this is my life
At his feet, every difficulty is ease

From the depths of the prayers, the calves are never relieved
He who abides in His mercy, forgets all sorrows","
This verse shows the great value of the blessings and prayers of the government through its eloquent words. In every poem, life is made easy by the grace of God and in the light of natural guidance. It is from the depth of the prayers that one who keeps his prayers in the blessings of the Lord, gets relief and overcomes every difficulty easily. This verse encourages Muslims to attain greater heights in their spirituality and declares them as an inexhaustible source of the blessings of the government."
Help needed government ,"In the court of government, every heart needs support
Who stays at their feet forgets every sorrow

May the government always be with us in life
He who dwells in His mercy, finds every lost path

In the court of government, every heart needs support
Who stays at their feet forgets every sorrow

May the government always be with us in life
He who dwells in His mercy, finds every lost path

In the court of government, every heart needs support
Who stays at their feet forgets every sorrow

May the government always be with us in life
He who dwells in His mercy, finds every lost path

In the court of government, every heart needs support
Who stays at their feet forgets every sorrow

May the government always be with us in life
He who dwells in His mercy, finds every lost path

In the court of government, every heart needs support
Who stays at their feet forgets every sorrow

May the government always be with us in life
He who dwells in His mercy, finds every lost path","
This verse speaks of love and attention in the court of government. The heart should be supported in every poetry and every sorrow is forgotten by staying at their feet. It is a great blessing to always be with Him in life and to find a lost way in His mercies. This verse shows characteristically the words of his love and attention in the court of Sarkar"
Plain-walled Sohnia Sajan,"Every age is a witness to the words of your Hussain
Your time is God's solution to every problem

Your face shines, this is a journey of mercy
Whoever wants you, comes

Your radiance delights the heart, full of spiritual radiance
When it comes to the earth, it seems like the sky is full

Every age has come to you, the beauty of your words is beautiful
The journey of mercy is yours, every color is in the nights of God

Your eyes are magical, delighting hearts
All time is a witness, the journey of your greatness

Your face shines, touches hearts
Every color is in God's nights, in your love

From your tongues comes the language of mercy
Every time is a witness, every word of yours is a journey

Your face shines, delights hearts
Your love is a journey, every color is in God's nights

Every age is a witness to the words of your Hussain
Your time is God's solution to every problem

From your tongues comes the language of mercy
Every time is a witness, every word of yours is a journey","
This verse describes Hussain's words and love in a special and impressive way. In every poem, Hussain's face shines, his witticisms, and his journey of love harmonize. In interpretation, it says that Hussain's words are a witness in every age and his age is God Himself who is the solution to every problem. This verse examines the importance of Hussain's love and words which touch every heart and make every age beautiful."
The sound is on the lips when the sound of Medina,"Every heartbeat, Medina's Sada
Where I am, all times are blessed

Madinah's nights are the color of dreams
Where I am, every heart has shone

The sound of Medina is always on the lips
Ai Hai Jahan Mein, every tune is catchy

Al-Madinah, in every azkar
Come where I am, every prayer is accepted

Every street, every square, every alley of Madinah
I am here, every heart has a path

Spring of love, in the lands of Medina
Where I am, every flower and every tree is smiling

The sound of Medina, on the tongue of every heart
Wherever I go, there is a smile on every corner

The scenery of Madinah, gives great beauty to every heart
Where I am, there is a twinkle in every eye

Sadaya Madinah, gives great joy to every heart
Where I am, every heart is satisfied

The mouth of Madinah shines in all ages
Where I have come, the chain of every heart is Madinah

The mouth of love, resounds in every heart
Where I have come, there is always Medina","
These poems describe the beauty, beauty and loving atmosphere of Madinah Munwarah. In each poem, the sacred place of Madinah and its various heroes and features are realized. The poems describe the colors of Madinah nights, the acceptance of prayers, and loving moments. Each segment describes the beautiful scenery and moonlight of Madinah in a fascinating way"
All the prophets have great positions.,"Every flight, every flash, every word says it
The promise of the covenant of the prophets is great

The sky is bright, the earth is shining
A crown rests on the head of the prophets

In Gulzar-e-Hassan, Chaman-e-Rahmat
Every Venus is at the feet of the Prophets

Truth is the world, prophecy is the remedy
The message of the prophets has touched every heart

A journey of mercy, on moonlit nights
In the words of the prophets, every man is good

Magnificent, prophetic
In the words of the prophets, every heart is enlightened

Desert migration is a big story
In the paths of the prophets, every traveler has a wheel

Tajdar-e-Madinah is the soul of every heart
In the words of the prophets, every heart is tender

Love shines, light is in hearts
In the words of the prophets, every ornament is an ornament of the heart

The sight of the prophets, the sight of the mercies
In the words of the prophets, every moment of every age is special
","
These verses describe the greatness, love and mercy of the Prophets. Light, brightness and wisdom have been expressed in everything due to prophethood in every poem. Describing the goals and importance of prophethood, the poet has predicted religious efforts and following the path of prophets. Every poem talks about the love and devotion of Prophet Muhammad (peace be upon him) and Imam Hussain (peace be upon him), which enlightens the hearts of Muslims."
Visit the Green Dome.,"1. Always be in dome vegetables
   I am in the talismanic nights of Holy Prophet

2. Visit the Green Dome
   Be immersed in the love of God

3. I am in the nights of Hussain Gombad
   I am in the talismanic words of the Prophet

4. Visiting the Green Dome
   I am in the night of love

5. I will always be with the Holy Prophet
   I am visiting the green dome

6. I am in the nights of Hussain Dome
   Be immersed in the love of God

7. Visit the Green Dome
   I am in the talismanic words of the Prophet

8. I will always be with the Holy Prophet
   I am visiting the green dome

9. I am in the nights of Hussain Dome
   Be immersed in the love of God

10. Visit the Green Dome
    I am in the talismanic words of the Prophet","
This Kalam describes the features of Gonbad Sharif and the religious and loving lessons of Hazrat Muhammad (PBUH) and Hazrat Imam Hussain (AS). Each poem mentions the characteristics of Gunbad Sharif and the love-filled nights that highlight the religious sentiments."
In your shadow,"1. I am in your shadow, in the desire of your feet
   My heart goes out to you all the time

2. In the shadowy nights, I am the desire of every heart
   Stay with you, find you

3. Be with you every night, be close to you every day
   I sacrifice to you, I want to get you

4. I am in your shadow, the desire of every heart
   I am with you, I want to get you

5. I am in the shadow of your feet, I am the desire of every heart
   I am with you, I want to have you

6. Shadow I am yours, every heart's longing
   I am with you, I want to get you

7. I am in your shade, I love your feet very much
   I am with you, I want to have you

8. I am always in your shadow, I am the desire of every heart
   I am with you, I want to get you

9. I am in your shade, I am the love of your feet
   I am with you, I want to get you

10. Every heart is in your shadow, every breath is close to you
    I am with you, I want to get you","
This poetry is an expression of love and prayer where the poet has expressed love and concern for God in every poem. Expressing the desires of Chai and Kadman, Ash'ar pledges his heart to be close to Allah at all times and at all times."
"Read all. Greetings, they have come to the government ","1. Say Durood Aaj Sarkar Ajae
   Bismillah of the Holy Prophet, everyone shines

2. Hussain Rang, Hussain Chandni, Hussain Mehk
   It is the night of Durood, Hussain has come

3. Every wound is healed in the love of the Prophet
   Blessings of blessings, touched every heart

4. Hussain Badshah's arrival, became the rival of every heart
   Zahra of Durood, Hussain has arrived

5. Aj came to the kingdom, gave great joy to every heart
   Blessings of blessings, Hussain has arrived

6. Hussain's arrival, Hussain's night
   It is the night of Durood, Hussain has come

7. Hussain has arrived, every face shines
   Blessings of blessings, Hussain has arrived

8. Every heart is at peace in Hussain's love
   It is the night of Durood, Hussain has come

9. The arrival of Hussain Badshah, touched every heart
   Zahra of Durood, Hussain has arrived

10. Hussain came, every heart smiled
    Blessings of blessings, Hussain has arrived","
In this poem, the love of Prophet Muhammad (PBUH) and Imam Hussain (RA) are talked about. There is a great blessing of Durood Sharif in the poems, which is of great importance in Islamic traditions"
Sil-e-shahr-e-pember became,"In the lights of the city prophet
Touched the hearts, the questioners became prophets

The seducer of every heart, became a questioner
Like the Prophet, the city became the love of every heart

There is a journey of mercy, shining in the ways
Asking cities have become prophets, hearts have been deceived

There is a journey of love, it shines in the night
The city has become a prophet, the hearts have been deceived

It shines all the time, they asked
In the lights of the city prophet, hearts are seduced

In Muhammad's love, every heart shines
Asking cities have become prophets, hearts have been deceived

The answer is thine, seducer of hearts
The city of Prophets is the secret of love

Say every scent, every rose
In the lights of the city prophet, hearts are seduced

There is a journey of mercy, shining every age
Asking cities have become prophets, hearts have been deceived

Every path is bright with your love
In the lights of the city prophet, hearts are seduced","
In this poem, the poet has described the beautiful continuation of the love of Prophet Muhammad (PBUH) and his lights. The poet has told how the love of Muhammad (PBUH) has seduced every heart and his light has touched the hearts. In the interpretation, the Hussaini of this poem and the language of the poet have been explained"
Saade Wal Sohniyan,"There is no one like you in every sight
Your bedrock is the moonlight of the nights

There is a smile on the face, it is in the heart
Muhammad's face is light

Where love is, it shines in the ways
Sade Will Sohniyan is the king of hearts

Basta hai every heart, in your beauty
Every star shines in your light

There is no one like you even in dreams
Sade Wil Sohniyan is a lover of Muhammad

It is a journey of mercy, it seduces the hearts
Sade Wil Sohniyan, is the grace of the Lord

The answer is thine, seducer of hearts
Muhammad's smile is plain and simple

Every path is bright with your love
Sade Will Sohniyan, is the secret of love

Heart touching, yours is the face
Sade Will Sohniyan, is the love of hearts

Aye hai Saade Will, shines for ever
In the love of Muhammad, Sade wil Sohniyana","
In this poem, the poet has described the love of Prophet Muhammad (PBUH) and his beauty very beautifully. This poem praises the light, smile, and love of the face of Muhammad. The poet has highlighted the love of Prophet Muhammad (peace be upon him) from the depths of his heart and described the uniqueness of his love. The smile of Prophet Muhammad, the journey of mercy, and the secret of his love have been embellished by the poet with the language of poetry. In this poem, the beauty of Prophet Muhammad (peace and blessings of Allah be upon him) has been made the subject of praise and through it the idea of ​​a loving gathering has been shown."
Saade Wal Sohnia,"Sade Will Sohnia, Dil Diyan Sweet Nights
In the fun of the night, the heart is crazy

In the words of love, the secret of love is hidden
Sade Will Sohnia, Dil Ka Hai Message Pyar

In the moonlight of the night, your face shines
Sade Will Sohnia, is your every smile in dreams

Every smile of yours is a hidden feeling
Sade Will Sohnia, the heart is drawn to you

Every moment is crazy about your memories
Sade wil sohnia, hai tere bana every moment

In everything you say, there is a hidden smile
Sade Will Sohnia, your beauty seduces the heart

It is hidden in every heart
Sade Will Sohnia, your beauty is amazing

In the gloom of nights, thy heart wanders
Sade wil Sohnia, hai teri har baat har moment

In the beauty of the face, lies the radiance
Sade wil Sohnia, hai teri har maskan chandni

Your beauty seduces every heart
Sade wil sohnia, hai tera dildar bana","
In this poem, the poet expresses the beauty, smile, and love of his beloved. He states that his heart has gone mad during the nights of revelry and he finds peace every moment in the memories of Hussain Mehboob. The poet has described the words of love, smiles, and memories in different ways and has praised the beauty of the beloved while expressing his love. The feelings of love and beauty have been beautifully highlighted by the poet in this poem"
Come on Saade Dal,"Each tear is the face of rapture
Simple hearts are tears, statement of attendance

Touching the heart, this is the music of Naat
Simple hearts are tears, the tongue of the hearer

There is a secret of what is hidden in the nights
Simple hearts are tears, hidden prayers in the heart

This secret of love is hidden in every heart
Simple hearts are tears, Hussain's message

Hidden in love stories is activity
Simple hearts are tears, a promise of love

There is hope hidden in every heart story
Simple hearts are tears, a message of hope

There is hidden pain in each harmony
Simple hearts are tears, expressions of pain

There was a smile on his face
Simple hearts are tears, expressions of joy

There is a feeling hidden in each letter
Simple hearts are tears, an expression of emotion

There is magic hidden in love stories
Simple hearts are tears, the journey of love","
In this poem, the poet describes tears in a speechless state and makes it a material to express different feelings, situations and conditions. He has associated tears with good and bad self, presence, naat, prayer, love, hope, pain, joy, feeling and emotion etc."
It is not a matter of control,"No zabat ka nayara, go to Madinah
The heart finds peace, the soul finds peace

Every time I see the beautiful path of Madinah
The heart finds peace, the soul finds peace

In the charming surroundings of Madinah
The heart is at peace, when I go to Madinah

No zabat ka nayara, go to Madinah
Every conversation there gives hope to the heart

In every walk of life, memories of Madinah
The heart finds peace, the soul finds peace

When my heart is lonely
I went to Medina, the heart finds hope

Zabat ka nahi yara, go to Madinah
There one finds peace, the heart finds peace

The sight of Madinah brightened the heart
When I was at the foot of Medina","
In this poem, the poet describes the importance of turning towards Madinah and reaching there. He has described how to remove the difficulties and sorrows of life by going to Madinah.

The poet has explained the importance of the path of Madinah in search of peace for the heart and peace for the soul. Whenever he sees the beautiful path of Madinah, the heart and soul are immediately soothed and soothed"
Difficulty in life,"The difficulty that came in life, went towards Madinah
The heart finds peace, the soul finds peace

Even in the Garden of Troubles, my memories are connected with Medina
The heart finds China, when I went to Madinah

The solution to every confusion of life is in Madinah
Dil finds China, as I walk towards Madinah

Every heart finds peace on the way to Madinah
Every time I walk, hope wakes up in my heart

In every changing path of life
It is my way, I went to Madinah

At the feet of Madinah, the heart finds China
Every table there, the soul finds peace

When my heart was full of China
I went to Medina, forgetting the world

The difficulty that came in life, went towards Madinah
There the chain finds hope, the heart finds hope","
In this poem, the poet has found the solution to life's difficulties and conflicts in walking the path of Madinah. The poet says that whenever difficulties arise in life, he turns to Madinah.

The poet has narrated the story of his heart and said that walking on the path of Madinah gives peace to the heart and gives hope to the soul."
Journey to Madinah in Life ,"Madinah journey in life is very beautiful
The heart finds peace, the soul finds hope

Whenever I go, I see the road to Madinah
The heart becomes protected from every pain

I want to see when you fast
The soul of my heart finds peace by going to Madinah

Every beat of my heart calls Madinah
Every Sada there is soothing to the soul

Every step smells of love
I travel to Medina, the heart finds hope

The soul of every heart is on the way to Madinah
The atmosphere there is soothing to the heart

Whenever I think about Medina
The heart is filled with joy, the soul is satisfied

My heart is tired of worldly cares
I went to Madinah to find hope","
In this poem, the poet describes the beauty of the journey to Madinah and its effects. The poet says that the journey to Medina in life gives peace to the heart and gives new hope to the soul.

The poet has described that whenever he sees the road to Madinah, his heart is protected from all pain and his heart becomes happy in the light of hopes."
Mention of government gathering ,"In Zikr-e-Sarkar gatherings, every heart got
Their words that shine, delight the heart

A party that remembers
Touches the heart, awakens the soul

In the gathering of the Prophet (peace be upon him).
He who is present steals the heart

Amuses the heart, their memory lanes
Madinah in Sir, is very beautiful

They have come to the gatherings that awaken my heart
I forget everything, leaving only their memories

In Mahfil-e-Zikr-e-Servar, every heart meets
The perfect spring scent that lingers

Yad-e-Madinah has come whenever the fragrance of the heart
On moonlit nights, there is shade in roses

What is the life of the one who does not belong to the zabat?
What greatness is hidden in Mahfil-e-Zikr-e-Sarwar"," He says that every heart gets the mention of Zikar-i-Sarkar in the gatherings and the brilliance of his words amuses the hearts.

The poet has publicized Yad-i-Sarwar gatherings in a very special and positive manner. Touching the heart and awakening the soul is very important in these gatherings"
Mention of government,"The government is mentioned in his words
Touches the heart, awakens the soul

In the gathering of the Prophet (peace and blessings of Allah be upon him).
He who is present steals the heart

Amuses the heart, their memory lanes
Madinah in Sir, is very beautiful

They have come to the gatherings that awaken my heart
I forget everything, leaving only their memories

In Mahfil-e-Zikr-e-Servar, every heart meets
The perfect spring scent that lingers

Yad-e-Madinah has come whenever the fragrance of the heart
On moonlit nights, there is shade in roses

What is the life of the one who does not belong to the zabat?
What greatness is hidden in Mahfil-e-Zikr-e-Sarwar

What was difficult in life, on the way to Madinah
The heart found peace, in his words","
In this speech, the poet has described the great importance of remembering the Prophet (peace and blessings of Allah be upon him). He has said that the remembrance of Prophet Muhammad (PBUH) touches the hearts and awakens the soul.

The poet has greatly appreciated those present in Mahfil-e-Zikr-e-Sarwar and how important it is to steal and entertain their hearts. He describes the characteristic of Mahfis that hearts are soothed and memories remain in Mahfis.

The poet has described the beauty of Madinah's memories in poetic language. Their memories have enraptured the hearts and made the beauty of Madinah beautiful"
The mention of the Holy Prophet is not changed. ,"
Remembrance of the Holy Prophet changed the world

Awakened the heart and brightened our soul

For body and soul too, the mention of the Prophet is the best

Gave peace to the hearts, eyes to China

The remembrance of the Holy Prophet enlightened the hearts

We live in the heart, the brightness of the remembrance of the Messenger

Remembering you, giving love to the world

Remembrance of the Messenger of Allah has given us brightness","
In this poem, the poet describes the sanctity of the remembrance of the Messenger of Allah (peace and blessings of Allah be upon him) and its effects. The poet says that the remembrance of the Holy Prophet changes the world and his spirituality brightens the hearts.

The poet has described the effects of remembrance of the Holy Prophet as reaching the body and soul. With the blessings of this dhikr, the hearts get peace and the eyes get pleasure"
Remember the Prophet.,"Remember the Prophet, make your heart happy

Remember Nabi, do it day and night

The words of the Holy Prophet changed us

Touching the heart, he did the holy dhikr

Every moment, every breath, just this is ours

By the remembrance of the Prophet, our every prayer

This is a touching, dhikr of the Prophet

Remembrance of God is always the light of the heart","
In this speech, the poet has described the great heights and importance of the remembrance of the Holy Prophet (peace be upon him). It is expressed through the word that the remembrance of the Prophet leads the heart to happiness and joy. Remembrance of the Prophet brings peace and blessings throughout the day and night.

The poet has also said that the words of the Holy Prophet have positively influenced our lives and by mentioning them we get the basic moral values ​​of humanity that touch the heart."
Zikr Nabi Da Kari:   ,"Remember the Prophet, give your hearts to the ancestors
The one who talks, oh my heart

They lit the lamp, brought the lights
Jes de nam di sui, oh my soul di chan

Ocean of mercies, where you are
Jas de des de reet, Oh my heart de mother

Those who are seen every time, they are special
The sound of the letters, oh my heart sleeps

God give the head of the idol, which is visible
Jas de de dukhan de bhaau, oh my heart will give

The spirit of life, with which the umbilical cord was decorated
Who wrote everything, oh my heart

What the heart misses, what you see
Whose heart is the soil, oh my heart is the soil","
In this poem, the poet has described the various effects of mentioning Muhammad ﷺ. Their remembrance creates a special light and a place of prosperity in the hearts. After seeing them, the hearts felt a new light and peace "
 Syed Fasihuddin Suhrawardy,"What has happened to us, belongs to him
His words touch the heart

The journey of love, this path of the Prophet
It would touch every heart, this path of the Prophet

That which gives light, is for the personal
That way of life, this way of Mustafa

On the lips of the letter, this name comes
What touches the heart, that name comes

Hussain, who listens to the glory of the Messenger
This is Hussain's hard work, this is Hussain's work

The fragrance of Muhammad's face
Touches the heart, the fragrance of the path of Madinah

The rain of blessings, which comes from You
This is the sound of the rains, this is the song of the rains

In a heartbeat, it's wheat
The solemnity of Madinah, this is the night of Madinah","
In this poem, the poet has talked about the importance of the love of the Prophet (peace be upon him) and the effects of seeing him. He has stated that the journey of love of the Prophet (peace be upon him) is not possible without the guidance of the Prophet (peace be upon him). Their love leads hearts to new paths of life. After seeing them, there is talk of great prosperity and light in the hearts"
Just do it.,"1. Just do it, then this heartbeat is right
Be that spirit of love that is without wings

2. What is in the eyes is the language of the heart
There is a whisper of love that is indescribable

3. The earth and the sky are decorated with the light of love
What is the passion of love is indescribable

4. What is the passion of love is the story of the heart
There is no word but the language of love

5. Every moment of love is an expression of God
There is a message of love in every heartbeat

6. What is the color of love is the destiny of life
In every heartbeat there is a picture of love

7. Every flame of love is the cause of the light of the heart
Every moment of life is a picture of love

8. Whatever the condition of the heart, it is an expression of love
Every beat of love is the cause of the light of the heart","
In this poem, the poet has discussed various aspects of love. He has said that the light of love illuminates the heart and mind, and without it nothing is inexpressible. Love, though a language, is unspoken, and is felt only by the characters who feel it."
Samin and Zaman for you,"1. Earth and time are bright for you
This universe is the light of the lamp of love

2. The paths of life continue to shine
Blessings of love come one by one

3. It has come down from the heights of the heavens
The fragrant blessings of the Word of God

4. All the spectacles of scholars are here
The strange ways of love

5. Time is indifferent to their light
Who cares not for the light of love

6. All things move forward under the shadow of love
This is the light of the earth and time for you

7. With the light of love, all lives are filled
Earth and time are decorated with the light of love

8. In every love story there is water of blessings
The earth and time are decorated with the heads of love","
Here in the poem, the poet has considered the arrival of the blessings, lights, and paths of love and their importance. He has stated that love is the light that is important and unique to every age and land. Love has given light to the whole world, has given spectators color, light, and happiness, O Deity"
Samin O Zaman for you,"Earth and time are always ready for you
The mention of Muhammad (PBUH) is our business

What is the peace of the earth and time?
Noor comes from seeing Muhammad

Every fragrance in the world, every gem, every home
In the love of Muhammad is the price of every earth and time

Earth and time are for my heart
Everything is beautiful in the sight of Muhammad

The mention of Muhammad is the pretext of lights
His grace is in the land and time

Earth and time are illuminated by the vision of Muhammad
All things are glorified by His vision

A journey is made to see Muhammad
In the earth and time, every color has its fragrance","
In this poem, the poet has described the majesty of seeing the Holy Prophet (peace and blessings of Allah be upon him) and his glory. The sight of Holy Prophet is a journey that spreads its color and fragrance between earth and time. All things are seen in their glory and beauty"
Earth and time for you,"I am deprived of the awe of the world
Your land is for your time

You see the light of heaven
Muhammad, we have nothing without you

All the ways are in the ways of love
All your words are blessings, all are ways

The light is yours, the freshness of the age
Muhammad, we have nothing without you

Every moment, every fragrance belongs to you
Every prayer is asking where, every fragrance

The earth and time are for you
Beneath your feet is where the club bows down

Every earth and time is your imagination
My everything is for you, your desire

I pray in your name every time
Muhammad, nothing is less without you","
In this poem, the poet has described the love of the Holy Prophet (peace and blessings of Allah be upon him) and the beautiful effects of his personality. The influence of his love and prophethood has deprived the poet's heart of the worldly charms and without his love he does not like anything."
Earth and time for you,"There is light in the fireplace, from your coming
Your love touched every heart

The earth and time are prostrating to you
Every tear, every prayer, calling you

Life is the way, you are the destination
In your love, every path is a target

You are mentioned in every prostration
Your command in every song

Your coming brings light to the world
Every prayer, every wish, your prayers

Earth and time are for you, the heaven of happiness
With your blessings, everything is possible

Every heart is bright with your name
Your love has made everyone shine

This earth and time are like you
Everyone recognized you","
In this poem, the poet has described the effects of the arrival of the Holy Prophet (peace be upon him) and the effects of his love. He has described the light of the Holy Prophet's love on earth and time and has described the resonance of light in the world as a result of his love."
Earth and time for you,"The world is also under pride, your self is without light
What is the color of spring, time has passed

Every day is Eid, every night is celebration
The light of your face, time has diminished

This is Makan as far as your side is Bakheri
We are watching your life

Earth and time are a bouquet of light for you
Every particle is its stage, time, time

Each is a deep hearted desire, to see you
Everything is forgotten, joy in every heart

Your love has taught us so much
The whole world has been given to us

Ever since you came into the world, light is shadow
Calling your name, entering the walls of hearts

You are mentioned in every heart, your praise is on every tongue
We are listening to the echo of your love all the time","
In this poem, the poet has described the great position of the Holy Prophet (PBUH) and the effects of his love. He has described the light of His love throughout the earth and the ages and made the world feel the resonance of His love."
Earth and time for you,"All time is unity for you
Every story, from every language belongs to you

Light everywhere that your radiance has filled
Your love has given light to the world, in all ages

Earth and time are prostrations to you
Your rise has given the world a new face, in every age

Your love is the sky of the world
Everything has been given a place of your love, in every age

Since your love has filled my heart
Life is modern, every moment is your worship time

From your being is light in all ages
From your presence is the flag of every heart

Earth and time are for you people
Your love has given the world new paths

Moonlight is everywhere in front of you
For you is the earth and the time, every moment of happiness, in every language","
In this poem, the poet has described the love of the Holy Prophet (peace and blessings of Allah be upon him) and the abundance of his splendor. He has felt the effects of your presence in the earth and the ages and has mentioned the illumination of the world in the light of his love."
The ground is not flat,"The earth is not smooth, with your love
May the Lord's mercy be upon you

Do not look like a messenger
There are lights in the world from your dawn

The land of the Kaaba is the corner of prayers
The wave of love from the land of Mustafa in the sea

Because of your love, the earth is beautiful
Every sight is with the mercy of your chaman

Your eyes touch the heart
The Lord of the world is bright with your spring

The rain of your mercy gave life to the earth
Earth is heaven's every street, From your spring

Life is a glimpse of your love
Hope grows every day with your grace

The earth is not fair, as long as your memories are
Your love belongs to all times, in all ways","
In this poem, the poet has described the greatness of the love of Allah and the Holy Prophet (peace be upon him) and their blessings. He has described the condition of the earth and the sky in the light of earthly and heavenly love. It is evident in their expression that the effects of the love of the Holy Prophet are felt everywhere on earth and in heaven"
I am destined,"It is the fate of the Holy Prophet
Day and night, the wall of the Haram was destroyed

Shine the lights of your love in the wheel
Even on earth I am Basiri, lights of love","
In this poem, the poet has glorified the mercy of Allah and the love of the Holy Prophet. He has made his intention clear and said, ""O God, accept the forgiveness of Holy Prophet"". And make it a part of their protection on the wall of the Haram both at night and day"
Zahe Muqaddar Hazoor-e-Haq Se,"A Zahidi is blessed with a heart from the presence of truth
It becomes a candle and burns, from the presence of truth

The heart is now relieved, in the world of love
From your sight, in the world of love","
In this poem, the poet has described the state of asceticism which is blessed by the Prophet of Truth, that is, Allah Almighty. He has said that the ascetic's heart burns in the love of Allah. He has found rest in his heart in the world of love, when he sees the presence of Allah Almighty"
I was destined to be my snorer,"
Is the capital of my heart, the messenger of love
The light of life, the love of the Messenger

This is how my destiny is beautified
When someone touches the heart

This is the light of the ascetic, the light of the Messenger
When there is a condition in the heart, the light of the Messenger","
In this poem, the poet has expressed his heart's love for the Prophet (peace and blessings of Allah be upon him) and has told how much the effect of his love makes life brighter. He has said that whenever one touches the heart, he is adorned with that love and whenever an inner state arises in the heart, he feels the light of the Messenger's love."
This era is something,"This era is nothing
Everything is yours, whatever is there

There is nothing here, only your name
You are manifest in everything

Whatever you see is there
You have eyes on everything

The magic of your beauty fell on my heart
There is nothing here, there is only

Your existence, your influence, your color
It is clear in every light

Everything is yours, whoever you are
Everything is mine, only yours

This period also belongs to your lips
Every song is about you

All the moments are in your memory
There is nothing here but you","
In this poem, the poet has expressed his romantic feelings and praised the love of Allah and the living conditions of the Holy Prophet. This hatred makes it clear that human life is better only with the love and mercy of Allah"
Khurshid Ahmed,"All this is your grace sir
Do not return to us again

Seeing the condition of the poor
You came crying too

All that happened is good
Come on, help, help

Please do it, my dear
Go all the way to exhaustion

This poverty is also your gift
Never less

Brighten up every era
My lamp is lit

Our heart goes out to you
Knowingly giving

My hidden crazy heart
We are not yours","
In this poem, the poet has praised the greatness of Allah and admitted his weaknesses. He says that everything is the mercy of Your grace and grace, and seeing his poor and deprived condition, weeps for the love and mercy of Allah. This hatred makes it clear that any human being is somehow saved only by the love and grace of Allah"
