LABELS,NEWS,SNO
POSITIVE,بڑی صنعتوں کی پیداوار میں 3.56 فیصد اضافہ,9704
NEGATIVE,تیسرا ٹی 20: ویسٹ انڈیز کھلاڑیوں کی کرونا رپورٹس آگئیں,9705
NEGATIVE,"ٹانک: کار پر اندھا دھند فائرنگ، خواتین سمیت 4 افراد جاں بحق",9706
POSITIVE,کراچی: اغوا برائے تاوان کی وارداتوں میں کون ملوث ہے؟ تہلکہ خیز انکشاف منظر عام پر,9707
NEGATIVE,"کراچی: سپرہائی وے پر دلخراش ٹریفک حادثہ، 3 افراد جاں بحق",9708
POSITIVE,پاکستان میں کورونا  کے یومیہ مثبت کیسز کی شرح 0.7 پر آگئی,9709
NEUTRAL,خانیوال: حلقہ پی پی 206 میں ضمنی الیکشن کے لئے پولنگ جاری,9710
POSITIVE,اکتوبر 2021 میں ملکی برآمدات میں اضافہ,9711
NEUTRAL,برطرف ملازمین بحال ہونگے یا نہیں؟ فیصلہ کل ہوگا,9712
POSITIVE,معروف گلوکار علی ظفر نے اسموگ پالیسی پر سوال اٹھادیا,9713
POSITIVE,ارسلان محسود کیس: گرفتار ایس ایچ او کا جسمانی ریمانڈ منظور,9714
POSITIVE,علاج کی سہولتوں میں بہتری کے لیے کوشاں ہیں: ڈاکٹر فیصل سلطان,9715
POSITIVE,وزیر اعظم آفس نے اوور سیز پاکستانی کو لٹنے سے بچا لیا,9716
POSITIVE,"ایوان نمائندگان میں تاریخ رقم، اسلامو فوبیا کے خلاف بل منظور",9717
POSITIVE,"پاکستان میں کورونا کیسز میں کمی کا رحجان برقرار، 4 اموات اور370 کیسز رپورٹ",9718
POSITIVE,"پاک بھارت کرکٹ ٹاکرے کا اعلان ، تاریخ بھی سامنے آگئی",9719
POSITIVE,کراچی:منشیات سپلائی کے لئے کون سا ‘کوڈورڈ’ استعمال کرتے تھے؟ گرفتار ملزم کا انکشاف,9720
POSITIVE,پاکستان کی جانب سے 2 کشمیریوں کے ماورائے عدالت قتل کی مذمت,9721
NEGATIVE,نجی اسپتال کی غفلت: ٹانگ سے محروم ہونے والا نوجوان عدالت پہنچ گیا,9722
POSITIVE,پاک بحریہ کے جہاز پی این ایس عالمگیر کا گھانا کا دورہ,9723
POSITIVE,اومیکرون سے بچاؤ کیسے ممکن ہے؟ ماہرین نے بتادیا,9724
POSITIVE,او آئی سی کی خارجہ کونسل کا ون پوائنٹ ایجنڈا افغان انسانی بحران ہے: وزیر خارجہ,9725
POSITIVE,مزید قرضہ منظور: پاکستان کیلئے اہم خبر آگئی,9726
POSITIVE,نومبر 2021 کے دوران ترسیلات زر میں اضافہ,9727
POSITIVE,پاکستان اور ویسٹ انڈیز دوسرے ٹی ٹوئنٹی میں آج مدمقابل,9728
POSITIVE,"پاکستان اور سعودی عرب کی مشترکہ فوجی  مشقوں ""الکسہ ” کا آغاز",9729
POSITIVE,لاہور کی فورٹ فوڈ اسٹریٹ کی رونقیں بحال,9730
POSITIVE,قطر ایئر ویز کا پاکستان سے پروازوں کی تعداد میں اضافے کا اعلان,9731
NEGATIVE,متروکہ وقف املاک ٹرسٹ بورڈ کی 300 ایکڑ سے زائد زمین پر قبضہ,9732
POSITIVE,"پشاور: پولیس مقابلے میں 2 اشتہاری ملزمان ہلاک، پولیس اہلکار زخمی",9733
NEUTRAL,"پاکستان کی معاشی صورت حال، حکومت نے اعداد و شمار جاری کر دیے",9734
NEGATIVE,7 سالہ سلمان اسکول جانے کے بجائے قبروں پر پانی ڈالنے پر مجبور,9735
NEGATIVE,اومیکرون کا خوف: ممبئی میں دفعہ 144 کا نفاذ,9736
POSITIVE,پاکستان اسٹاک مارکیٹ: 100 انڈیکس میں اضافہ,9737
NEUTRAL,کیا آپ پاکستان کے خوبصورت پہاڑی سلسلوں کے بارے میں جانتے ہیں؟,9738
POSITIVE,پاک ویسٹ انڈیز سیریز کا سیکیورٹی پلان تیار,9739
POSITIVE,پاکستان  کی آسٹریلوی کرکٹ ٹیم کو فول پروف سیکیورٹی فراہم کرنے کی یقین دہانی,9740
POSITIVE,‘بیورو کریسی اپنی ذمہ داریاں ادا کرے’,9741
POSITIVE,جنوبی ایشیا کے دیگر ممالک کے مقابلے میں پاکستانی برآمدات میں اضافہ,9742
POSITIVE,سندھ میں دھواں چھوڑنے والی گاڑیوں اور فیکٹریوں کے خلاف کارروائی,9743
POSITIVE,پاکستان سٹیزن پورٹل پر رجسٹرڈ شہریوں کی تعداد میں ریکارڈ اضافہ,9744
POSITIVE,پاکستان میں کورونا کیسز کی مثبت شرح ایک فیصد سے کم پر برقرار,9745
POSITIVE,"کراچی: منشیات کی بڑی کھیپ ضبط، 5 کارندے گرفتار",9746
POSITIVE,"یوم شہادت سوار محمد حسین شہید(نشان حیدر)، پاک فوج کا خراج عقیدت",9747
NEUTRAL,‘آئندہ ہفتے میں بتائیں گے کہ مزید کیا کرنے جا رہے ہیں؟ ‘,9748
POSITIVE,خوش آمدید: ویسٹ انڈیز کرکٹ ٹیم پاکستان پہنچ گئی,9749
NEGATIVE,الیکشن کمیشن کا سندھ میں حلقہ بندیاں مؤخر کرنے کا فیصلہ,9750
NEGATIVE,پاکستان میں  اومی کرون سے متاثرہ خاتون کے  2بھائیوں میں بھی وائرس کا انکشاف,9751
POSITIVE,"پاکستان میں کورونا کیسز میں کمی کا رحجان برقرار، 10 اموات ریکارڈ",9752
POSITIVE,سرمایہ کاری کے لیے کرپٹو کرنسی محفوظ ترین ذریعہ ہے: وقار ذکا,9753
NEUTRAL,آئندہ 10 سال میں 10 ڈیم بنائیں گے: وزیر اعظم,9754
NEGATIVE,سرگودھا: بھتہ نہ دینے پر خاتون کو آگ لگا دی گئی,9755
POSITIVE,پنجاب کے دیہات میں 500 گراؤنڈز تیار کیے جائیں گے: عثمان بزدار,9756
POSITIVE,اسمگل کیا جانے والا تیسری صدی کا تاریخی پتھر پاکستان کو واپس مل گیا,9757
NEGATIVE,پاکستان میں کورونا کے 310 نئے کیسز  اور 9 اموات ریکارڈ,9758
POSITIVE,"بغیر ثبوت کے توہین مذہب کا الزام لگانا غیر شرعی حرکت ، علمائے کرام کا اعلامیہ",9759
POSITIVE,200 ڈالر سے کم قیمت موبائل فون کی اسمبلنگ پاکستان میں ہو رہی ہے: میک ان پالیسی پر اجلاس,9760
POSITIVE,پاکستان میں کورونا کیسز کی یومیہ شرح  0.56 فیصد پر آگئی,9761
NEGATIVE,کراچی کی معروف مارکیٹ میدان جنگ بن گئی,9762
NEGATIVE,"کچہری سے قیدیوں کا فرار: 11 قیدی فرار ہوئے، قتل میں ملوث 2 دوبارہ گرفتار",9763
POSITIVE,پاکستان  کا بھارت  سے بابری مسجد کی جگہ پر مندر کی غیر قانونی تعمیر فوری روکنے کا مطالبہ,9764
POSITIVE,دریاؤں کی آلودگی ختم کرنے کے لیے جامع منصوبہ پیش کیا جائے: وزیر اعظم کی ہدایت,9765
NEGATIVE,لاہور: ماڈل ٹاؤن کچہری سے خطرناک مقدمات کے متعدد قیدی فرار,9766
NEGATIVE,سانحہ سیالکوٹ نے قوم کے سر شرم سے جھکا دیے: وزیر اعظم,9767
POSITIVE,وزیر خارجہ برسلز کے سرکاری دورے پر روانہ,9768
POSITIVE,"پاکستان میں کورونا کیسز کی یومیہ شرح میں کمی کا سلسلہ جاری، 10 اموات اور 336 کیسز ریکارڈ",9769
NEUTRAL,این اے133 کا میدان مسلم لیگ (ن) نے مار لیا,9770
POSITIVE,ماری گیس فیلڈ سے گیس کی فراہمی شروع,9771
POSITIVE,سندھی کلچرل ڈے: امریکی قونصل جنرل کی سندھی زبان میں مبارکباد,9772
POSITIVE,سابق برطانوی فٹ بالر کامیاب جوان اسپورٹس ڈرائیو کا حصہ بن گئے,9773
POSITIVE,"کراچی کے لئے بڑی خوشخبری، اسد عمر نے بڑا اعلان کردیا",9774
POSITIVE,نشتر میڈیکل یونیورسٹی میں سولر پاور منصوبے کا افتتاح,9775
POSITIVE,بڑی خوشخبری ! پاکستان کو سعودی عرب سے 3ارب ڈالرموصول,9776
NEGATIVE,ڈالر کی قیمت ملکی تاریخ کی نئی بلند ترین سطح پر پہنچ گئی,9777
POSITIVE,پاکستان کیمیائی ہتھیاروں پر پابندی کی تنظیم کی ایگزیکٹو کونسل کا رکن منتخب,9778
NEGATIVE,"پاکستان میں کورونا مثبت کیسز کی شرح 0.91 فیصد، 8 اموات ریکارڈ",9779
NEGATIVE,"ملک میں مہنگائی کی جاری لہر برقرار، بیشتر اشیا کی قیمتوں میں اضافہ",9780
POSITIVE,پولیو ورکرز پر حملوں کی صورت میں ضلعی انتظامیہ قانونی کارروائی کرے: وزیر اعظم,9781
POSITIVE,بولنگ کا شوق کیسے پیدا ہوا؟ شاہین آفریدی نے بتادیا,9782
POSITIVE,انسداد اسموگ اقدامات: انکروچمنٹ کے خاتمے کے لیے احکامات  جاری,9783
POSITIVE,گوردوارہ دربار صاحب واقعہ : پاکستان نے بھارتی واویلا مسترد کردیا,9784
NEGATIVE,"پاکستان میں کورونا سے مزید 8 اموات ، 377 کیسز رپورٹ",9785
NEGATIVE,یو این مشن میں خدمات کی انجام دہی کے دوران پاک فوج کا جوان شہید,9786
POSITIVE,پاک ویسٹ انڈیز سیریز: امپائرز اور میچ آفیشلز کا اعلان,9787
NEUTRAL,ٹوئٹر کے نئے سی ای او تنقید کی زد میں آگئے,9788
NEGATIVE,یوٹیلیٹی اسٹورز کو کمرشل مقاصد کے لیے استعمال کرنے کا انکشاف,9789
POSITIVE,کولمبین حریف کو کیسے چت کیا؟ محمد وسیم نے بتادیا,9790
POSITIVE,"پاکستان میں کورونا مثبت کیسز کی شرح ایک فیصد سے کم پر برقرار، 414 کیسز رپورٹ",9791
NEGATIVE,"کراچی: لٹیرے بے لگام، کمپنی ملازم سے لاکھوں روپے لوٹ کر فرار",9792
NEGATIVE,پنجاب میں ڈینگی سے مزید 2 اموات,9793
NEGATIVE,سندھ میں گیس بحران: ایس ایس جی سی اہم فیصلوں پر عمل کرنے میں غیر سنجیدہ,9794
POSITIVE,سپریم کورٹ نے تھرکول کرپشن کیس نیب کو بھجوا دیا,9795
NEGATIVE,"لاہور میں ایک روز کے دوران ڈکیتی کی درجنوں وارداتیں، 1 شخص قتل",9796
NEGATIVE,پاکستان میں کورونا سے  10 اموات اور 475 کیسز رپورٹ,9797
NEGATIVE,اومیکرون دنیا کے لئے شدید خطرہ قرار,9798
POSITIVE,سعودی عرب اور پاکستان کے درمیان   3ارب ڈالر ڈپازٹ کے معاہدے پر دستخط,9799
POSITIVE,پنجاب میں پہلی بار ثقافتی پالیسی منظور,9800
POSITIVE,اوور سیز پاکستانیوں کی ووٹنگ: وزیر اعظم نے مشاورت تیز کر دی,9801
NEGATIVE,"پاکستان میں کورونا کے نئے ویرینٹ ‘ اومی کرون’ کے پھیلاؤ کا خطرہ، اسد عمر نے عوام کو خبردار کردیا",9802
POSITIVE,"کراچی: ڈکیت گینگ گرفتار، سافٹ ویئر ایکسپرٹس بھی گینگ میں شامل",9803
POSITIVE,"پنجاب میں درجنوں کارروائیاں، کئی مبینہ دہشت گرد گرفتار",9804
POSITIVE,بلوچستان میں گزشتہ روز کرونا وائرس کا کوئی کیس رپورٹ نہیں ہوا,9805
POSITIVE,ویسٹ انڈیز کا دورہ پاکستان: عمرگل اور محمد یوسف کو اہم ذمے داریاں ملنے کا امکان,9806
NEGATIVE,لاہور: قاتل ڈور نے ایک اور زندگی کا چراغ گل کردیا,9807
POSITIVE,اومی کرون وائرس: کویت نے بڑی پابندیاں عائد کردیں,9808
POSITIVE,"کرونا وائرس: کیسز میں کمی کا سلسلہ جاری، مزید 5 اموات",9809
POSITIVE,پاکستان  کا افغانستان کو جان بچانے والی ادویات عطیہ کرنے کا اعلان,9810
POSITIVE,میڈیا ورکرز اور صحافیوں کے لیے کیا اقدامات کیے گئے؟ عدالت نے جواب طلب کرلیا,9811
POSITIVE,نیا بلدیاتی قانون: ایم کیو ایم کا سندھ حکومت کو ٹف ٹائم دینے کا فیصلہ,9812
POSITIVE,اسلام آباد: درجہ حرارت گرنے پر ڈینگی کیسز میں کمی,9813
NEUTRAL,کرونا وائرس کی ‘بدترین قسم” کتنی خطرناک ہے؟ جانئے,9814
NEGATIVE,کرونا وائرس: ملک بھر میں 400 سے زائد نئے کیسز رپورٹ,9815
POSITIVE,دورہ پاکستان کے لیے ویسٹ انڈیز ٹیم کا اعلان,9816
NEGATIVE,کراچی: نومولود بچے کو زندہ جلانے کی کوشش,9817
NEGATIVE,پنجاب میں ڈینگی سے مزید 4 افراد جاں بحق,9818
POSITIVE,کرکٹر عبداللہ شفیق کو خوابوں کی تعبیر مل گئی,9819
POSITIVE,وزیر اعظم عمران خان کو ازبکستان کے صدر کا ٹیلی فون,9820
POSITIVE,پاکستان میں کورونا کے تشویشناک مریضوں کی تعداد ایک ہزار سے نیچے آگئی,9821
NEGATIVE,پاکستان پر عالمی سفری پابندیوں میں توسیع کا اعلان,9822
NEUTRAL,وکی کوشل و کترینہ کیف کی شادی کیسے ہوگی؟ تفصیلات منظر عام پر,9823
POSITIVE,"یواے ای کا قومی دن : ہوٹل میں قیام، ایکسپو2020 اور دبئی واوچرز جیتنے کے لئے ‘فین بوتھ’ میں داخل ہوجائیں",9824
POSITIVE,بڑی خبر: پاکستان کرونا ادویات برآمد کرنے والے ممالک میں شامل ہو گیا,9825
POSITIVE,انسداد پولیو: نیشنل ایمرجنسی ایکشن پلان 23-2022 منظور,9826
NEGATIVE,"پی آئی اے کے ملازم کی حادثاتی موت، ادارے سے ملی رقم والد نے لے لی، بیوہ محروم",9827
POSITIVE,سندھ میں نومولود بچے اور ماں کے لیے مفت سہولتوں کا پروگرام,9828
NEGATIVE,نیب افسران اور کرپشن کیسز کے ملزمان کو جعلی فون کالز کا انکشاف,9829
NEGATIVE,اپرکوہستان سے گلگت جانے والی کار خوفناک حادثے کا شکار,9830
POSITIVE,اسموگ کی روک تھام: لاہور میں تجاوزات ختم کرنے کے لیے بلا تفریق آپریشن کا حکم,9831
NEGATIVE,"اسٹاک مارکیٹ میں شدید مندی ، ڈالر کی اونچی اڑان جاری",9832
POSITIVE,پاکستان میں کورونا کیسز اور اموات کی شرح میں کمی کا سلسلہ جاری,9833
POSITIVE,حکومت  کا آئندہ سال سے ای پاسپورٹ کے اجرا کا فیصلہ,9834
NEUTRAL,کراچی میں دودھ کی قیمت کیا ہوگی؟,9835
POSITIVE,سندھ ہائیکورٹ: اہلیہ کے قتل میں ملوث شوہر کی اپیل مسترد,9836
POSITIVE,61 ارب روپے سے زائد مالیت کے ترقیاتی منصوبوں کی منظوری,9837
POSITIVE,وزیر اعظم کی سی پیک فیز 2 سے متعلقہ اقدامات جلد مکمل کرنے کی ہدایت,9838
NEGATIVE,پاکستان میں کورونا سے  5  اموات  اور 315 کیسز رپورٹ,9839
NEGATIVE,صبا قمر کی تصاویر سوشل میڈیا پر وائرل,9840
POSITIVE,سندھ حکومت کا گھر گھر سوشل رجسٹری کروانے کا منصوبہ,9841
POSITIVE,نائیجیریا میں دوسری پاک افریقہ کانفرنس اور سنگل کنٹری نمائش,9842
NEGATIVE,سی ڈی اے اسپتال کی لیب گزشتہ 10 سال سے غیر فعال,9843
POSITIVE,پنجاب میں ڈینگی کیسز میں کمی آنا شروع,9844
NEGATIVE,بجلی کی قیمت میں پونے 5 روپے اضافے کی درخواست,9845
POSITIVE,"پاکستان میں کورونا کیسز اور اموات  کی شرح کم ترین سطح پر آگئی، صرف3 اموات ریکارڈ",9846
NEUTRAL,"افسران کی تقرری اور تعیناتی، اسٹیبلشمنٹ ڈویژن کا سندھ حکومت کو خط",9847
NEUTRAL,"قومی ٹیم کے سابق ڈاکٹر کا وسیم اکرم سے متعلق بیان، نیا پنڈورہ بکس کھل گیا",9848
NEGATIVE,"لاہور: رواں سال کی سب سے بڑی ڈکیتی، اہل خانہ جمع پونجی سے محروم",9849
NEUTRAL,"سفید فام نوجوان کی رہائی، امریکا بھر میں مظاہرے پھوٹ پڑے",9850
NEGATIVE,"کرونا وائرس: مزید 313 کیسز رپورٹ، 4 جاں بحق",9851
NEUTRAL,پاکستان نے کراچی پورٹ سے تابکار مادے لوڈ ہونے کی بھارتی رپورٹ مسترد کر دی,9852
NEUTRAL,پنجاب میں فصلوں کی باقیات جلانے پر 52 افراد کے خلاف مقدمات درج,9853
POSITIVE,ایپل کی خودکار ڈرائیونگ والی الیکٹرک گاڑی کی تیاری جاری,9854
NEUTRAL,بیٹرز کو غلط اشارہ کیوں کیا؟ آئی سی سی نے حسن علی کی سرزنش کردی,9855
NEGATIVE,سٹیزن پورٹل: سرکاری افسران کی جعلسازی کا انکشاف,9856
NEGATIVE,"کراچی سے دبئی جانے والی پرواز میں تکنیکی خرابی، مسافر سراپا احتجاج",9857
NEUTRAL,ٹی ٹوئنٹی سیریز میں برتری کا عزم لئے گرین شرٹس آج میدان میں اترے گی,9858
NEUTRAL,پاکستان نے بھارت کو خطے میں فضائی آلودگی پھیلانے کا ذمہ دار قراردے دیا,9859
NEUTRAL,وزیر اعظم کا سہولت کارڈز سے متعلق ٹھوس پالیسی مرتب کرنے کا فیصلہ,9860
NEGATIVE,102 ادویات کی قیمتوں میں 311 فیصد تک اضافہ: سینیٹ میں جواب جمع,9861
NEUTRAL,"بابا گورونانک کا جنم دن،  پاکستان نے کرتارپور راہداری پر سکھ یاتریوں کو بڑی سہولت دے دی",9862
NEUTRAL,ڈیجیٹل پورٹل کیسے کام کرے گا؟,9863
NEUTRAL,ٹوائلٹ کا عالمی دن: وہ سہولت جس نے انسان کی عمر میں 20 سال اضافہ کیا,9864
POSITIVE,معجزہ: ایک اور مریض ایچ آئی وی کو شکست دینے میں کامیاب,9865
NEGATIVE,"پاکستان میں کورونا سے مزید 10 اموات ، ایک ہزار83 افراد کی حالت تشویشناک",9866
NEUTRAL,"آئندہ الیکشن میں ای وی ایم کا استعمال، الیکشن کمیشن تذبذب کا شکار",9867
NEUTRAL,وزیراعلیٰ بھارتی پنجاب کی کرتار پور آمد,9868
NEGATIVE,"پاکستان میں کورونا سے مزید 10 اموات ،  460 کیسز رپورٹ",9869
POSITIVE,امریکا جانے کے خواہشمند پاکستانیوں کی مشکل آسان ہوگئی,9870
NEUTRAL,بلاول بھٹو کا  ای وی ایم کے خلاف عدالت جانے کا اعلان,9871
NEUTRAL,"کراچی: کشتی میں آتشزدگی، پاک نیوی میدان میں آگئی",9872
NEGATIVE,ڈینگی وائرس: پختونخواہ میں بھی صورتحال تشویشناک,9873
NEUTRAL,"مشترکہ اجلاس، حکومتی حکمت عملی تیار، پارلیمنٹ کی سیکیورٹی سخت، شٹل سروس چلے گی",9874
NEUTRAL,پاکستان اسٹاک مارکیٹ: 100 انڈیکس میں 800 سے زائد پوائنٹس کا اضافہ,9875
NEUTRAL,فلک شبیر کو دوران کانسرٹ بھی سارہ کی یاد ستانے لگی,9876
POSITIVE,ایسی قانون سازی چاہتے ہیں جس سے عوام کا فائدہ ہو: وزیر خارجہ,9877
NEUTRAL,پاکستان  کی  مقبوضہ کشمیر  4 کشمیریوں کے ماورائے عدالت قتل کی شدید مذمت,9878
POSITIVE,کوہ سلیمان کے پہاڑی سلسلے کے پانی کو محفوظ کرنے کے لیے ڈیم کا منصوبہ تیار,9879
POSITIVE,پاکستان میں کورونا کیسز کی یومیہ شرح کم ترین سطح پر آگئی,9880
NEUTRAL,پاکستان سیمی فائنل کس لمحے ہارا؟ وقار یونس کی ماہرانہ رائے,9881
POSITIVE,کوڑے کو آگ لگانے والوں کے خلاف بھی جرمانے ہو رہے ہیں: ترجمان پنجاب حکومت,9882
POSITIVE,لاہور میں اینٹی اسموگ اسکواڈ قائم,9883
NEUTRAL,جولائی سے اکتوبر تک ترسیلات زر 10.6 ارب ڈالرز تک پہنچ گئی: فرخ حبیب,9884
NEGATIVE,اسلام آباد میں مزید ڈینگی کیسز رپورٹ,9885
NEUTRAL,ورلڈ ٹی ٹوئنٹی فائنل: وسیم اکرم کی فیورٹ ٹیم کون سی؟,9886
NEGATIVE,"ایکواڈور کا جیل ‘قبرستان’ بن گیا، ہر طرف لاشیں ہی لاشیں",9887
NEUTRAL,کبیر والا میں 45 سال پرانا چائے کا ہوٹل,9888
NEUTRAL,پاکستان اسٹاک مارکیٹ: 100 انڈیکس میں 1500 سے زائد پوائنٹس کی کمی,9889
NEUTRAL,15 لاکھ دینے کے باوجود گاڑی ڈیلیور نہیں ہوئی: شہری عدالت پہنچ گیا,9890
POSITIVE,وزیر اعظم کی بلوچستان ترقیاتی پیکج پر تیزی سے کام کرنے کی ہدایت,9891
NEGATIVE,"کراچی: پی ڈی ایم کا حکومت مخالف احتجاج، اہم سڑک بند کردی گئی",9892
NEGATIVE,اسلام آباد اور پنجاب میں ڈینگی کیسز کی حالت بدستور تشویشناک,9893
POSITIVE,گوگل کروم میں نئے فیچر کا اضافہ,9894
NEGATIVE,"کیا لاوارثوں کےلیے قبرستان کا مطالبہ ناجائز ہے؟، رمضان چھیپا پھٹ پڑے",9895
POSITIVE,کرونا وائرس: یومیہ کیسز کی تعداد کم ترین سطح پر پہنچ گئی,9896
NEGATIVE,کراچی: آتشزدگی کے مختلف واقعات میں 5 افراد زخمی,9897
NEUTRAL,فواد خان کا ڈیڑھ سال بعد ٹویٹ,9898
NEUTRAL,سیمی فائنل میں شکست: شاہین آفریدی کا جذباتی پیغام وائرل,9899
NEUTRAL,"اہم امور پر قانون سازی، حکومت کا اپوزیشن لیڈر سے رابطہ",9900
POSITIVE,"پاکستان میں کورونا کیسز میں مسلسل کمی ، یومیہ شرح ایک فیصد پر آگئی",9901
POSITIVE,پاکستان کا مقبوضہ کشمیر میں مزید ہزاروں بھارتی افواج کی تعیناتی پر اظہار تشویش,9902
NEUTRAL,"وائلڈ لائف فوٹوگرافر کا خطرناک جانور سے آمنا سامنا، ویڈیو وائرل",9903
NEUTRAL,"ٹیکساس واقعہ: مرنے والوں میں پاکستانی بھی شامل، تعلق کس شہر سے تھا؟",9904
NEUTRAL,"دوسرا سیمی فائنل، شاہین آج کینگروز پر جھپٹنے کو تیار",9905
NEUTRAL,تگڑے ہوجاؤ جوانو! راولپنڈی ایکسپریس کا کھلاڑیوں کو پیغام,9906
NEUTRAL,کووڈ سے تحفظ کے لیے ویکسینیشن کتنی موثر؟ نیا ڈیٹا منظر عام پر,9907
POSITIVE,"پاکستان میں کورونا کیسز میں نمایاں کمی، گزشتہ 24 گھنٹے میں 8 اموات",9908
NEGATIVE,بھارت میں خوف ناک ٹریفک حادثہ (بچے ویڈیو نہ دیکھیں),9909
POSITIVE,"پاکستان سے برطانیہ سفر کرنے والوں کی بڑی مشکل آسان، برطانوی حکومت نے اہم اعلان کردیا",9910
POSITIVE,پنجاب کی 30 فیصد آبادی کو مکمل ویکسین لگ چکی ہے: یاسمین راشد,9911
NEUTRAL,"پاکستان جانے میں تحفظات ہوسکتے ہیں، آسٹریلوی کپتان",9912
NEGATIVE,پنجاب میں ایک روز میں ڈینگی کے ساڑھے 4 سو سے زائد کیسز رپورٹ,9913
NEUTRAL,ٹی ٹوئنٹی ورلڈکپ: کس ٹیم کی ‘جرسی’ بہترین؟,9914
NEGATIVE,اسلام آباد: میٹرو اسٹیشن واقعے میں اہم پیش رفت,9915
NEUTRAL,فیکٹ چیک: کیا نئے کرنسی نوٹ جاری ہورہے ہیں؟ اسٹیٹ بینک نے بتادیا,9916
POSITIVE,اگلے ہفتے تک ڈینگی کیسز پر قابو پالیں گے: یاسمین راشد,9917
NEUTRAL,آسٹریلیا کے دورہ پاکستان کا شیڈول جاری,9918
NEUTRAL,پاکستان میں دنیا کے مقابلے میں بہت بہتر حالات ہیں: فواد چوہدری,9919
NEUTRAL,تیز ترین 50 کا ریکارڈ: یہ تو شروع ہوتے ہی ختم ہوگیا,9920
NEUTRAL,پاکستان میں کورونا مثبت کیسز کی شرح ایک  فیصد پر آگئی,9921
NEUTRAL,"مہنگائی کرونا کے باعث لاک ڈاؤن کی وجہ سےہوئی ،وزیراعظم",9922
POSITIVE,"کراچی پولیس کی بڑی کارروائی، کالعدم تنظیم کے 4 دہشت گرد گرفتار",9923
NEGATIVE,کرونا وائرس: 24 گھنٹوں کے دوران 20 مریض جاں بحق,9924
POSITIVE,پاکستان اسٹاک مارکیٹ: 100 انڈیکس میں 1100 سے زائد پوائنٹس کا اضافہ,9925
NEGATIVE,اسلام آباد میں ڈینگی کیسز میں اضافہ جاری,9926
POSITIVE,متعدد افراد کی ٹارگٹ کلنگ میں ملوث لیاری گینگ وار کا ملزم گرفتار,9927
NEGATIVE,کرونا وائرس: 24 گھنٹوں کے دوران 11 مریض جاں بحق,9928
NEGATIVE,"کراچی: ڈیری فارمرز کی من مانی، دودھ کی قیمت میں ہوشربا اضافہ",9929
NEUTRAL,بابر علی کا ایک دن میں عروج سے زوال کا سفر,9930
NEGATIVE,خان پور: آوارہ کتوں نے گھر کے باہر کھیلتی بچی کو نوچ ڈالا,9931
NEUTRAL,کسی حکومت نے غریبوں کے لیے اتنا کام نہیں کیا جتنا ہم نے کیا: وزیر اعظم,9932
NEGATIVE,ناظم جوکھیو کا قتل: ’بلاول صاحب یہ کیا ہورہا ہے؟‘,9933
NEGATIVE,"پاکستان میں کورونا مثبت کیسز کی شرح 1.16 فیصد پر آگئی ، مزید 11 اموات ریکارڈ",9934
POSITIVE,ناظم جوکھیو قتل کیس: پی پی رکن سندھ اسمبلی نے گرفتاری دے دی,9935
NEGATIVE,حکومت نے پیٹرولیم مصنوعات کی قیمتوں میں پھر اضافہ کردیا,9936
NEGATIVE,"چینی کی قیمتوں کی نئی اڑان، صارفین پریشان",9937
POSITIVE,نوشین شاہ نے ہاتھ جوڑ کر معافی مانگ لی,9938
NEGATIVE,پاکستانی کھلاڑی نمیبین ٹیم کا حوصلہ بڑھانے ان کے ڈریسنگ روم پہنچ گئے,9939
POSITIVE,اوور سیز پاکستانیوں کے مسائل کے حل کے لیے وزیر اعظم کی اہم ہدایت,9940
POSITIVE,کرونا وبا کے خلاف ایک اور بڑی کامیابی مل گئی,9941
POSITIVE,اقرا عزیز کا شوہر کے لیے محبت بھرا پیغام,9942
NEGATIVE,پاکستان کی کابل میں دہشت گرد حملوں کی شدید مذمت,9943
POSITIVE,"ویزا  فیس، پاکستان نے افغان شہریوں کو بڑی سہولت فراہم کردی",9944
NEUTRAL,سارہ اور فلک کی بیٹی کے عقیقے کی تصاویر سوشل میڈیا پر وائرل,9945
NEUTRAL,ملک بھر کی ماڈل کورٹس میں کیسز کی تعداد صفر ہوگئی,9946
POSITIVE,"کالعدم جماعت سے معاہدہ، قومی اسمبلی کا اجلاس طلب کرنے کا فیصلہ",9947
POSITIVE,اسلام آباد میں ریسکیو 1122 سروسز شروع کرنے کا اعلان,9948
NEGATIVE,لاہور میں 8 ماہ کا بچہ ڈینگی وائرس سے جاں بحق,9949
POSITIVE,"پاکستان میں کورونا کیسزمیں کمی، ایک دن میں صرف  457کیسز رپورٹ",9950
NEUTRAL,شاہین نے آفریدی کا جرسی نمبر کیوں لیا؟ جانئے دلچسپ کہانی,9951
POSITIVE,کویت: غیر ملکیوں کے ورک پرمٹ سے  متعلق اچھی خبر,9952
NEUTRAL,ریٹائرمنٹ کا فیصلہ: اصغر افغان نے وجہ بیان کردی,9953
POSITIVE,جھنگ میں دوران تقریب دولہا اور باراتیوں کو کرونا ویکسین لگا دی گئی,9954
NEUTRAL,وزیر خارجہ شاہ محمود قریشی سے آسٹریلین ہم منصب کا ٹیلی فونک رابطہ,9955
NEUTRAL,پاکستان کی جانب سے امدادی سامان کی ایک اور کھیپ افغان حکام کے حوالے,9956
